number,area,component,priority_labels,assignees,title,author,created_at,updated_at,comments,summary,url
218,abstract-refactor,refactor,spec-violation,,[REFACTOR-ABSTRACT-ALGO] abstract-method implementation ignores the MRO and the configurable body,MelbourneDeveloper,2026-06-28T03:44:21Z,2026-07-10T23:22:37Z,1,Spec: REFACTOR-ABSTRACT-ALGO / Spec says:,https://github.com/Nimblesite/Basilisk/issues/218
221,autofix-adoption,refactor,spec-violation,,[AUTOFIX-ADOPTION-RULES] adoption auto-graduation never runs in production,MelbourneDeveloper,2026-06-28T03:44:26Z,2026-08-01T06:14:10Z,2,Spec: AUTOFIX-ADOPTION-RULES / Spec says:,https://github.com/Nimblesite/Basilisk/issues/221
222,autofix-adoption,refactor,spec-violation,,[AUTOFIX-ADOPTION-FLOW] adopt skips the safe-autofix step and demotions are not applied on the normal publish path,MelbourneDeveloper,2026-06-28T03:44:27Z,2026-08-01T06:14:11Z,2,Spec: AUTOFIX-ADOPTION-FLOW / Spec says:,https://github.com/Nimblesite/Basilisk/issues/222
244,cache,cache,,,[ANALYSIS-INCR-DEBOUNCE] file-watcher debounce drops earlier batches' reload targets instead of coalescing,MelbourneDeveloper,2026-07-01T22:12:10Z,2026-08-01T06:14:14Z,1,"Surfaced during adversarial verification of 210 (out of that issue's scope). / The trailing debounce for workspace/didChangeWatchedFiles uses abort-and-replace semantics: each incoming batch aborts any pending re-analysis task and schedules a fresh one (crates/basilisk-lsp/src/server/document.rs:302-307). The aborted task's reloadtargets are discarded, not coalesced — so if two separate didChangeWatchedFiles notifications for different files arrive within the 200 ms window (FILEWATCHERDEBOUNCEMS, crates/basilisk-lsp/src/server/mod.rs), the first file's re-analysis is silently dropped: its sourcehash check never runs and its diagnostics can go stale until some later event touches it.",https://github.com/Nimblesite/Basilisk/issues/244
367,cache,cache,,,Persistent result cache is CLI-only: the VS Code Caching panel offers a setting that does nothing in the editor,abdushakoor12,2026-07-29T05:55:25Z,2026-08-01T06:13:42Z,1,"Summary / [tool.basilisk] cache = true turns on the persistent result cache for basilisk check / basilisk analyze only. The language server never reads or writes it, so toggling Project → Caching → ""Reuse results between runs"" in the VS Code configuration editor has no effect on anything the editor does.",https://github.com/Nimblesite/Basilisk/issues/367
227,cli-exit-codes,cli,spec-violation,,[CHKARCH-CLI-EXITCODES] exit code 2 (configuration error) is never produced,MelbourneDeveloper,2026-06-28T03:44:35Z,2026-07-10T23:22:39Z,1,Spec: CHKARCH-CLI-EXITCODES / Spec says:,https://github.com/Nimblesite/Basilisk/issues/227
384,cli-exit-codes,cli,high-priority;spec-violation,,"Unparseable files: text output drops them entirely, and a user syntax error exits 3 (Internal failure) masking exit 1",MelbourneDeveloper,2026-08-01T06:55:06Z,2026-08-01T06:55:06Z,0,A file Basilisk cannot parse is handled correctly in JSON and badly everywhere / else. Three separate defects share one cause: CheckOutcome::failures is a,https://github.com/Nimblesite/Basilisk/issues/384
381,constructors-rule,type-checking,high-priority,,"constructors_call_init only fires when the constructor call is the outermost expression: C(1) caught, C(1).m() silent",MelbourneDeveloper,2026-08-01T01:00:38Z,2026-08-01T01:00:38Z,0,"Summary / constructorscallinit fires only when the constructor call is the outermost expression of a statement (or the RHS of an assignment). The moment the result is used — C(1).attr, C(1).method() — the arity check is skipped.",https://github.com/Nimblesite/Basilisk/issues/381
291,cython,feature-req,,,feature req: support cython,asukaminato0721,2026-07-06T18:45:49Z,2026-08-01T06:13:43Z,1,"But the syntax is kind of diff, so don't know the work amount.",https://github.com/Nimblesite/Basilisk/issues/291
47,distribution-install,packaging,,,Detect first-party / third-party package name collision (declared PyPI dep shadows local package),MelbourneDeveloper,2026-05-23T22:13:42Z,2026-08-01T06:13:45Z,1,"Summary / Basilisk should detect when a project declares a PyPI dependency whose distribution/import name collides with a first-party package shipped by the same project, and emit a diagnostic. This class of bug silently pulls an unrelated third-party package into the dependency graph (dependency confusion) and is invisible until something breaks at runtime — or never breaks but ships a supply-chain risk.",https://github.com/Nimblesite/Basilisk/issues/47
370,distribution-install,packaging,,abdushakoor12,Auto-download vs install by cargo newer worked on ArchLinux,amerlyq,2026-07-29T22:30:33Z,2026-08-02T10:39:37Z,0," Install basilisk.nvim, empty ~/.cargo/bin, not even added to path. /  Run nvim -- basilisk is downloaded into ~/.local/share/nvim/basilisk/v0.3x.0/...",https://github.com/Nimblesite/Basilisk/issues/370
356,enum-rule,type-checking,,abdushakoor12,"calls_argument_type checks str.join arguments syntactically: 4 false positives on valid list displays, and a missed genuine error",abdushakoor12,2026-07-25T13:10:59Z,2026-07-25T15:14:18Z,0,"Summary / callsargumenttype checks built-in method arguments against the syntactic shape of the expression (RhsKind), not against its type. For str.join, the effect is a rule that is wrong in both directions: it rejects valid code whenever a list/tuple/set display contains anything other than a string literal, and it silently accepts a genuinely wrong argument.",https://github.com/Nimblesite/Basilisk/issues/356
373,enum-rule,type-checking,,,[Module Explorer] Enum members are counted as untyped even though annotations are forbidden,rayliverified,2026-07-30T19:01:11Z,2026-08-02T10:27:14Z,1,"Summary / Module Explorer counts valid Enum/StrEnum members as untyped because they do not have explicit annotations. However, PEP 435 enum members are inferred from their assignments and must be left unannotated. Basilisk's own enumsmembers diagnostic correctly rejects the annotation that would otherwise satisfy the coverage metric.",https://github.com/Nimblesite/Basilisk/issues/373
374,enum-rule,type-checking,,,Basilisk fails union-of-members/enum equivalency in some case.,tapetersen,2026-07-30T20:14:49Z,2026-08-03T21:07:51Z,1,"In typing spec at: [enum-literal-expansion](https://typing.python.org/en/latest/spec/enums.htmlenum-literal-expansion). /  Likewise, a type checker should treat a complete union of all literal members as [equivalent](https://typing.python.org/en/latest/spec/glossary.htmlterm-equivalent) to the enum type:",https://github.com/Nimblesite/Basilisk/issues/374
215,extract-refactor,refactor,spec-violation,,"[REFACTOR-EXTRACT-VAR-ALGO] occurrence matching is substring, not AST-structural",MelbourneDeveloper,2026-06-28T03:44:16Z,2026-07-10T23:22:35Z,1,Spec: REFACTOR-EXTRACT-VAR-ALGO / Spec says:,https://github.com/Nimblesite/Basilisk/issues/215
216,extract-refactor,refactor,spec-violation,,[REFACTOR-EXTRACT-FUNC-EDGE] extract-function handles only a subset of the specified edge cases,MelbourneDeveloper,2026-06-28T03:44:18Z,2026-07-10T23:22:36Z,1,Spec: REFACTOR-EXTRACT-FUNC-EDGE / Spec says:,https://github.com/Nimblesite/Basilisk/issues/216
289,hover,lsp,awaiting-reply;high-priority,abdushakoor12,hover on class don't have init hint,asukaminato0721,2026-07-06T18:42:11Z,2026-07-12T08:48:22Z,3,,https://github.com/Nimblesite/Basilisk/issues/289
324,hover,lsp,critical;showstopper,MelbourneDeveloper,Basilisk ships no standard-library type information — stdlib recognition is name-only,abdushakoor12,2026-07-18T06:19:23Z,2026-08-01T15:09:14Z,3,"Problem / Basilisk contains no type information for the Python standard library. What we call stdlib ""resolution"" is a compile-time list of module names (built from typeshed's VERSIONS file into a phf set) whose only job is suppressing importsunresolved on lines like import os. No stub content for any stdlib module exists anywhere in the product — a stdlib import resolves to no file (resolvedpath = None), so populateimportedsymbols skips it and every downstream consumer sees nothing.",https://github.com/Nimblesite/Basilisk/issues/324
286,imports,imports,awaiting-reply,abdushakoor12,import statement highlight is wrong,asukaminato0721,2026-07-06T18:39:02Z,2026-07-25T01:09:22Z,4,"<img width=""977"" height=""170"" alt=""Image"" src=""https://github.com/user-attachments/assets/7428275b-6447-4233-b241-129b7e1f1ddf"" /",https://github.com/Nimblesite/Basilisk/issues/286
312,imports,imports,critical,abdushakoor12,Basilisk fails to use/trace imported-re-exported symbols,Josverl,2026-07-14T20:06:10Z,2026-07-31T21:52:39Z,9,This is a follow up from 271 on the use of custom stdlib stubs. / For MicroPython one of these stubs is for the asyncio module.,https://github.com/Nimblesite/Basilisk/issues/312
387,inlay-hints,lsp,,,No latency contract for LSP requests: inlay hints/completion run per keystroke with no target and no ratchet,abdushakoor12,2026-08-01T10:48:24Z,2026-08-01T10:48:24Z,0,"Summary / There is no latency contract for any LSP request, and no gate that would catch a",https://github.com/Nimblesite/Basilisk/issues/387
304,lsp-cpu,lsp,critical,abdushakoor12,cpu keep shouting when use the lsp,asukaminato0721,2026-07-12T03:04:11Z,2026-07-14T03:29:22Z,4,"<img width=""2914"" height=""133"" alt=""Image"" src=""https://github.com/user-attachments/assets/64ecc26d-4dec-4c6e-aaaa-8fb2f82d0e30"" /",https://github.com/Nimblesite/Basilisk/issues/304
111,lsp-test-explorer,lsp,high-priority,,"Modules panel: first-class context menus — full action set, multi-select, batch fixes, delete",MelbourneDeveloper,2026-06-11T11:50:30Z,2026-08-01T06:13:44Z,1,"Summary / The merged Modules panel (103 / 106, view basilisk.moduleExplorer) currently has a bare-bones right-click experience: exactly two context menu items (Copy Import Path, Copy Qualified Name) and no multi-select. The tree surfaces the entire workspace's type health (header: 63% typed · 24331E 162W) but offers almost no way to act on it from the tree.",https://github.com/Nimblesite/Basilisk/issues/111
152,lsp-test-explorer,lsp,,abdushakoor12,Test explorer child results never update + debug button does nothing (breakpoints not hit),MelbourneDeveloper,2026-06-17T08:52:11Z,2026-07-15T08:44:14Z,0,"Summary / Two broken behaviours in the VS Code Test Explorer, observed in extension v0.15.1 (bundled basilisk 0.15.1).",https://github.com/Nimblesite/Basilisk/issues/152
211,lsp-test-explorer,lsp,spec-violation,,[LSPTEST-TEST-EXECUTION-UV-AWARE] pytest resolution cascade order + env vars + coverage flag deviate from spec,MelbourneDeveloper,2026-06-28T03:44:10Z,2026-07-10T23:22:34Z,1,Spec: LSPTEST-TEST-EXECUTION-UV-AWARE-PYTEST-RESOLUTION-CASCADE / -ENVIRONMENT-VARIABLES / LSPTEST-UV-INTEGRATION-COVERAGE / Spec says:,https://github.com/Nimblesite/Basilisk/issues/211
85,lsp-trace,lsp,,,"Make LSP trace controllable: verbosity level + per-category mute (currently firehose, likely CPU cost)",MelbourneDeveloper,2026-06-05T11:45:05Z,2026-08-01T06:13:40Z,1,Summary / The LSP trace is firehose-or-nothing and far too noisy. We need granular control: a verbosity level and the ability to mute specific categories of trace output. Right now it both buries useful signal and likely wastes CPU/IO serializing megabytes of JSON.,https://github.com/Nimblesite/Basilisk/issues/85
